code,year,population,month,vlookup
AL,2012,4817528.0,1,AL+2012+1
AL,2010,4785570.0,1,AL+2010+1
AL,2011,4801627.0,1,AL+2011+1
AL,2009,4757938.0,1,AL+2009+1
AL,2013,4833722.0,1,AL+2013+1
AL,2007,4672840.0,1,AL+2007+1
AL,2008,4718206.0,1,AL+2008+1
AL,2005,4569805.0,1,AL+2005+1
AL,2006,4628981.0,1,AL+2006+1
AL,2004,4530729.0,1,AL+2004+1
AL,2003,4503491.0,1,AL+2003+1
AL,2001,4467634.0,1,AL+2001+1
AL,2002,4480089.0,1,AL+2002+1
AL,1999,4430141.0,1,AL+1999+1
AL,2000,4452173.0,1,AL+2000+1
AL,1998,4404701.0,1,AL+1998+1
AL,1997,4367935.0,1,AL+1997+1
AL,1996,4331103.0,1,AL+1996+1
AL,1995,4296800.0,1,AL+1995+1
AL,1994,4260229.0,1,AL+1994+1
AL,1993,4214202.0,1,AL+1993+1
AL,1992,4154014.0,1,AL+1992+1
AL,1991,4099156.0,1,AL+1991+1
AL,1990,4050055.0,1,AL+1990+1
AK,1990,553290.0,1,AK+1990+1
AK,1992,588736.0,1,AK+1992+1
AK,1994,603308.0,1,AK+1994+1
AK,1991,570193.0,1,AK+1991+1
AK,1993,599434.0,1,AK+1993+1
AK,1995,604412.0,1,AK+1995+1
AK,1996,608569.0,1,AK+1996+1
AK,1998,619933.0,1,AK+1998+1
AK,1997,612968.0,1,AK+1997+1
AK,1999,624779.0,1,AK+1999+1
AK,2000,627963.0,1,AK+2000+1
AK,2001,633714.0,1,AK+2001+1
AK,2002,642337.0,1,AK+2002+1
AK,2003,648414.0,1,AK+2003+1
AK,2004,659286.0,1,AK+2004+1
AK,2005,666946.0,1,AK+2005+1
AK,2006,675302.0,1,AK+2006+1
AK,2007,680300.0,1,AK+2007+1
AK,2008,687455.0,1,AK+2008+1
AK,2013,735132.0,1,AK+2013+1
AK,2009,698895.0,1,AK+2009+1
AK,2010,713868.0,1,AK+2010+1
AK,2011,723375.0,1,AK+2011+1
AK,2012,730307.0,1,AK+2012+1
AZ,2012,6551149.0,1,AZ+2012+1
AZ,2011,6468796.0,1,AZ+2011+1
AZ,2010,6408790.0,1,AZ+2010+1
AZ,2013,6626624.0,1,AZ+2013+1
AZ,2009,6343154.0,1,AZ+2009+1
AZ,2007,6167681.0,1,AZ+2007+1
AZ,2008,6280362.0,1,AZ+2008+1
AZ,2005,5839077.0,1,AZ+2005+1
AZ,2006,6029141.0,1,AZ+2006+1
AZ,2004,5652404.0,1,AZ+2004+1
AZ,2003,5510364.0,1,AZ+2003+1
AZ,2001,5273477.0,1,AZ+2001+1
AZ,2002,5396255.0,1,AZ+2002+1
AZ,1999,5023823.0,1,AZ+1999+1
AZ,2000,5160586.0,1,AZ+2000+1
AZ,1998,4883342.0,1,AZ+1998+1
AZ,1997,4736990.0,1,AZ+1997+1
AZ,1996,4586940.0,1,AZ+1996+1
AZ,1995,4432499.0,1,AZ+1995+1
AZ,1993,4065440.0,1,AZ+1993+1
AZ,1994,4245089.0,1,AZ+1994+1
AZ,1991,3788576.0,1,AZ+1991+1
AZ,1992,3915740.0,1,AZ+1992+1
AZ,1990,3684097.0,1,AZ+1990+1
AR,1990,2356586.0,1,AR+1990+1
AR,1991,2383144.0,1,AR+1991+1
AR,1992,2415984.0,1,AR+1992+1
